CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10000258,1242,0.37,30.000,0.00
10000258,20,1.50,10.000,0.00
10000259,876,1.70,4.000,0.00
10000259,1242,0.37,40.000,0.00
10000259,20,1.50,15.000,0.00
10000259,333,20.50,2.000,0.00
10000260,407,4.50,3.000,0.00
10000261,20,1.50,1.000,0.00
10000261,335,0.50,5.000,0.00
10000261,714,3.00,1.000,0.00
10000262,676,0.30,5.000,0.00
10000262,1772,5.00,1.000,0.00
10000263,1679,0.06,1.000,0.00
10000264,71,8.00,1.000,0.00
10000264,965,14.00,1.000,0.00
10000264,1622,6.50,1.000,0.00
10000264,512,3.50,2.000,0.00
10000265,71,8.00,1.000,0.00
10000265,965,14.00,1.000,0.00
10000265,1662,7.00,1.000,0.00
10000265,512,3.50,2.000,0.00
10000266,333,20.50,1.000,0.00
10000267,980,2.50,2.000,0.00
10000268,713,3.50,2.000,0.00
10000269,854,3.80,1.000,0.00
10000270,20,1.50,20.000,0.00
10000270,333,20.50,2.000,0.00
10000270,326,4.00,2.000,0.00
10000271,876,1.70,10.000,0.00
10000271,333,20.50,2.000,0.00
10000271,20,1.50,30.000,0.00
10000272,71,8.00,5.000,0.00
10000273,763,5.00,10.000,0.00
10000274,876,1.70,4.000,0.00
10000274,854,3.80,1.000,0.00
10000275,677,1.20,4.000,0.00
10000276,71,8.00,1.000,0.00
10000277,768,4.50,1.000,0.00
10000278,1144,52.00,1.000,0.00
10000279,1145,14.00,1.000,0.00
10000279,676,0.30,5.000,0.00
10000280,1196,2.50,3.000,0.00
10000280,903,4.00,1.000,0.00
10000281,1150,42.00,1.000,0.00
10000283,1484,3.00,1.000,0.00
10000284,1450,1.45,2.000,0.00
10000285,1267,72.00,1.000,0.00
10000286,1267,72.00,1.000,0.00
10000286,1085,3.80,1.000,0.00
10000286,1334,1.90,2.000,0.00
10000286,693,8.00,1.000,0.00
10000287,1249,9.00,1.000,0.00
10000287,1253,2.00,1.000,0.00
10000288,20,1.50,2.000,0.00
10000288,335,0.50,10.000,0.00
10000288,419,4.00,1.000,0.00
10000289,71,8.00,1.000,0.00
10000290,20,1.50,8.000,0.00
10000290,333,20.50,1.000,0.00
10000290,326,4.00,1.000,0.00
10000291,1404,12.00,3.000,0.00
10000292,1140,43.00,1.000,0.00
10000293,405,30.00,1.000,0.00
10000293,1230,2.00,1.000,0.00
10000293,980,2.50,3.000,0.00
10000293,20,1.50,11.000,0.00
10000293,333,20.50,1.000,0.00
10000293,1085,3.80,1.000,0.00
10000293,64,5.30,1.000,0.00
10000294,1355,2.00,1.000,0.00
10000295,969,1.70,2.000,0.00
10000296,12,4.50,1.000,0.00
10000296,1111,14.00,2.000,0.00
10000296,981,2.00,2.000,0.00
10000296,678,0.70,3.000,0.00
10000297,71,8.00,1.000,0.00
10000298,1753,0.50,6.000,0.00
10000299,1431,6.30,6.000,0.00
10000299,1241,2.00,10.000,0.00
10000299,633,0.80,2.000,0.00
10000300,1302,4.50,1.000,0.00
10000301,333,20.50,1.000,0.00
10000301,20,1.50,5.000,0.00
10000302,197,0.80,2.000,0.00
10000303,12,4.50,1.000,0.00
10000304,1025,9.00,1.000,0.00
10000305,980,2.50,22.000,0.00
10000305,676,0.30,10.000,0.00
10000306,643,8.60,1.000,0.00
10000306,57,0.50,13.000,0.00
10000307,763,5.00,5.000,0.00
10000308,268,0.40,3.000,0.00
10000308,1024,0.50,10.000,0.00
10000309,71,8.00,10.000,0.00
10000309,981,2.00,15.000,0.00
10000363,81,0.30,6.000,0.00
10000363,878,0.15,12.000,0.00
10000363,1352,0.40,2.000,0.00
10000363,251,0.20,12.000,0.00
10000363,1222,12.00,1.000,0.00
10000363,1334,1.90,1.000,0.00
10000363,1388,1.80,1.000,0.00
10000363,1353,0.80,1.000,0.00
10000363,1385,13.60,2.000,0.00
10000363,1381,0.50,12.000,0.00
10000363,1143,1.80,12.000,0.00
10000363,1483,3.20,1.000,0.00
10000363,1156,4.00,12.000,0.00
10000363,947,12.00,1.000,0.00
10000363,1352,0.40,1.000,0.00
10000363,1480,3.00,3.000,0.00
10000363,1399,3.90,1.000,0.00
10000363,1209,6.40,1.000,0.00
10000363,1341,1.70,1.000,0.00
10000363,1043,8.00,1.000,0.00
10000363,608,4.00,1.000,0.00
10000363,64,5.30,1.000,0.00
10000363,577,0.51,2.000,0.00
10000364,980,2.50,5.000,0.00
10000365,1111,14.00,1.000,0.00
10000388,335,0.50,5.000,0.00
