NCM,DESCRICAO
84238102,"APARELHOS CONTROLADORES DA GRAMATURA TECIDO,CAP<=30KG"
84238110,"APARS.E INSTRUM.PESAGEM,DE MESA,C<=30KG,C/DISP.REG.ETC."
84238190,"OUTROS APARELHOS E INSTRUMENTOS DE PESAGEM,CAPAC<=30KG"
84238199,"OUTS.APARELHOS/INSTRUMENTOS,DE PESAGEM,CAP<=30KG"
84238200,"APARELHOS E INSTRUMENTOS PESAGEM,30KG<CAPAC<=5000KG"
84238201,"APARELHOS VERIFICADORES EXCESSO/ETC.DE PESO,30KG<C<=5T"
84238202,"APARELHOS CONTROLADORES DA GRAMATURA TECIDO,30KG<C<=5T"
84238299,"OUTS.APARELHOS/INSTRUMENTOS,DE PESAGEM,30KG<CAP<=5T"
84238900,OUTROS APARELHOS E INSTRUMENTOS DE PESAGEM
84238901,"APARELHOS VERIFICADORES EXCESSO/ETC.DE PESO,CAP>5T"
84238902,"APARELHOS CONTROLADORES DA GRAMATURA TECIDO,CAP>5T"
84238999,"OUTS.APARELHO/INSTRUMENTOS,DE PESAGEM,CAP>5T"
84239001,PESOS PARA BALANCAS
84239002,"PARTES DE APARELHOS/INSTRUMENTOS,DE PESAGEM"
84239010,PESOS P/BALANCAS
84239021,"PARTES DE BALANCAS P/PESSOAS,INCL.P/BEBES/USO DOMESTICO"
84239029,"PARTES DE OUTS.APARELHOS E INSTRUM.PESAGEM,INCL.BASCULA"
84241000,"EXTINTORES,MESMO CARREGADOS"
84242000,PISTOLAS AEROGRAFICAS/APARELHOS SEMELHANTES
84243001,"MAQUINAS/APARELHOS,DE JATO DE AREIA/OUT.ABRASIVO"
84243010,"MAQS.E APARS.P/DESOBSTRUCAO TUBULACAO,ETC.DE JATO AGUA"
84243020,"MAQS.E APARS.P/DESGASTE LOCALIZ.VESTUARIO,DE JATO AREIA"
84243030,"MAQS.E APARS.PERFURADORAS POR JATO AGUA,PRESSAO>=10MPA"
84243090,"OUTS.MAQS.E APARS.DE JATO DE AREIA/JATO DE VAPOR,ETC."
84243099,"MAQUINAS/APARELHOS,DE JATO DE VAPOR/SEMELHS."
84248101,PULVERIZADOR P/AGRICULTURA/HORTIC.MANUAL/DE PEDAL
84248111,"APARS.MANUAIS P/PROJETAR,ETC.PRODS.P/COMBATE A PRAGAS"
84248119,"OUTS.APARELHOS P/PULVERIZAR FUNGICIDAS/INSETICIDAS,ETC."
84248121,"IRRIGADORES E SISTEMAS DE IRRIGACAO,POR ASPERSAO"
84248129,OUTROS APARELHOS IRRIGADORES E SISTEMAS DE IRRIGACAO
84248190,OUTROS APARELHOS P/AGRIGULTURA OU HORTICULTURA
84248199,OUTS.APARELHOS P/AGRICULTURA/HORTICULTURA
84248900,"OUTROS APARELHOS MECANICOS,P/PROJETAR,ETC.LIQUIDOS/POS"
84248901,PULVERIZADOR SPRINKLER P/EQUIP.AUTOM.COMBATE INCENDIO
84248999,"OUTS.APARELHOS MECANICOS,P/PROJETAR/ETC.LIQUIDOS/POS"
84249000,"PARTES DE APARS.MECANICOS,P/PROJETAR/ETC.LIQUIDO/POS"
84249010,"PARTES DE EXTINTORES/APARELHOS P/PULVERIZAR,ETC.MANUAIS"
84249090,"PARTES DE OUTS.APARS.MECAN.P/PROJETAR,ETC.LIQUID/PO,ETC"
84251100,"TALHAS,CADERNAIS E MOITOES,DE MOTOR ELETRICO"
84251101,"TALHAS DE TAMBOR,DE MOTOR ELETRICO"
84251199,"OUTS.TALHAS/CADERNAIS/MOITOES,DE MOTOR ELETRICO"
84251901,"TALHAS/CADERNAIS/MOITOES,DE USO MANUAL"
84251910,"TALHAS,CADERNAIS E MOITOES,MANUAIS"
84251990,"OUTRAS TALHAS,CADERNAIS E MOITOES"
84251999,"TALHAS/CADERNAIS/MOITOES,EXC.MANUAIS/MOTOR ELETRICO"
84252000,"GUINCHOS P/ELEVACAO/DESCIDA DE GAIOLAS EM MINAS,ETC."
84252001,"GUINCHO P/GAIOLA DE POCO DE MINA,SUBTERRANEO,USO MANUAL"
84252099,"GUINCHO P/GAIOLA DE POCO DE MINA,SUBTERRANEO,EXC.MANUAL"
84253101,"GUINCHO/CABRESTANTE,CAP<=100T,C/MOTOR ELETRICO"
84253102,"GUINCHO/CABRESTANTE,CAP> 100T,C/MOTOR ELETRICO"
84253110,"GUINCHOS E CABRESTANTES,DE MOTOR ELETRICO,CAP<=100T"
84253190,"OUTROS GUINCHOS E CABRESTANTES,DE MOTOR ELETRICO"
84253901,"GUINCHO/CABRESTANTE,CAP<=100T,DE USO MANUAL"
84253902,"GUINCHO/CABRESTANTE,CAP> 100T,EXC.DE MOTOR ELETRICO"
84253910,"OUTROS GUINCHOS E CABRESTANTES,CAP<=100T"
84253990,OUTROS GUINCHOS E CABRESTANTES
84254100,"MACACOS ELEVADORES FIXOS DE VEICULOS,P/GARAGENS"
84254101,"ELEVADOR FIXO,HIDRAULICO,P/GARAGEM,DE VEICULOS"
84254199,"ELEVADOR FIXO,N/HIDRAULICO,P/GARAGEM,DE VEICULOS"
84254200,MACACOS HIDRAULICOS
84254201,"MACACO HIDRAULICO,DE USO MANUAL"
84254202,"MACACO HIDRAULICO,P/ACIONAR CARROCARIA BASCUL.CAMINHAO"
84254203,"MACACO HIDRAULICO,P/ACIONAR IMPLEM.TRATOR/MAQS.TERRAPL."
84254299,OUTS.MACACOS HIDRAULICOS
84254901,OUTS.MACACOS MANUAIS
84254902,"MACACO DE AR COMPRIMIDO,P/ABRIR/FECHAR PORTAS DE ONIBUS"
84254910,MACACOS MANUAIS
84254990,OUTROS MACACOS
84254999,"OUTS.MACACOS,EXC.OS MANUAIS OU HIDRAULICOS"
84261100,"PONTES E VIGAS,ROLANTES,DE SUPORTES FIXOS"
84261200,PORTICOS MOVEIS DE PNEUMATICOS E CARROS-PORTICOS
84261201,PORTICOS MOVEIS DE PNEUMATICO/ETC.P/ARMAZENS/ETC.
84261299,OUTS.PORTICOS MOVEIS DE PNEUMATICOS/CARROS-PORTICOS
84261900,"PONTES-GUINDASTES/PONTES E VIGAS,ROLANTES/PORTICOS"
84262000,GUINDASTES DE TORRE
84263000,GUINDASTES DE PORTICO
84264100,"MAQUINAS E APARELHOS AUTOPROPULSORES,DE PNEUMATICOS"
84264101,"MAQS/APARS.AUTOPROPULSOR DE PNEUMATICO,P/ARMAZENS/ETC."
84264199,"OUTS.MAQUINAS/APARELHOS,DE PNEUMATICOS,AUTOPROPULSORES"
84264900,"OUTS.MAQUINAS/APARELHOS,AUTOPROPULSORES"
84269100,"MAQUINAS/APARELHOS,P/MONTAGEM EM VEICULO RODOVIARIO"
84269900,CABREAS E OUTROS GUINDASTES
84269901,OUTS.GUINDASTES
84269999,"OUTS.PONTES-GUINDASTES,CARROS-GUINDASTES/ETC."
84271001,"EMPILHADEIRA AUTOPROPULSORA,C/MOTOR ELETRICO"
84271011,"EMPILHADEIRAS AUTOPROPULSORAS,DE MOTOR ELETR.CAP>65T"
84271019,"OUTRAS EMPILHADEIRAS AUTOPROPULSORAS,DE MOTOR ELETRICO"
84271090,"OUTROS VEICULOS P/MOVIM.CARGA,AUTOPROPULS.C/MOTOR ELETR"
84271099,"OUTS.VEICULOS P/MOVIM.CARGA,AUTOPROPULSOR,C/MOTOR ELETR"
84272001,"EMPILHADEIRA AUTOPROPULSORA,S/MOTOR ELETRICO"
84272010,"OUTRAS EMPILHADEIRAS AUTOPROPULSORAS,CAP>65T"
84272090,"OUTROS VEICULOS P/MOVIM.CARGA,AUTOPROPULSORES"
84272099,"OUTS.VEICULOS P/MOVIM.CARGA,AUTOPROPULSOR,S/MOTOR ELETR"
84279000,"OUTS.EMPILHADEIRAS/VEICS.P/MOVIM.CARGA,C/DISP.ELEVACAO"
84279001,"EMPILHADEIRA MECANICA,DE VOLUME,DE ACAO DESCONTINUA"
84279099,"OUTS.VEICULOS P/MOVIM.CARGA,C/DISPOSITIVO DE ELEVACAO"
84281000,ELEVADOR DE CARGA/DESCARGA/MOVIMENTO E MONTA-CARGAS
84282000,"APARELHOS ELEVADORES/TRANSPORTADORES,PNEUMATICOS"
84282010,TRANSPORTADORES PNEUMAT.TUBULARES MOVEIS DE MOTOR>120HP
84282090,"OUTROS APARELHOS ELEVADORES/TRANSPORTADORES,PNEUMATICOS"
84283100,"APARS.ELEVADORES/TRANSP.DE MERCADORIAS,P/USO SUBTERRAN."
84283101,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.DE CORREIAS"
84283102,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.DE CACAMBA"
84283103,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.DE CORRENTE"
84283104,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.ROLO MOTORIZ."
84283105,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.ROLO N/MOTOR."
84283106,"APARS.ELEVADORES,DE ACAO CONTINUA,SUBTERR.VIBRATORIO"
84283199,"OUTS.APARS.ELEVADORES/ETC.DE ACAO CONTINUA,SUBTERRANEOS"
84283200,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.DE CACAMBA"
84283300,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.DE CORREIA"
84283901,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.DE CORRENTE"
84283902,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.ROLO MOTOR."
84283903,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.ROLO N/MOT."
84283904,"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.VIBRATORIO"
84283910,"APARELHOS ELEVADORES/TRANSP.DE MERCADORIAS,DE CORRENTES"
84283920,"APARS.ELEVADORES/TRANSP.DE MERCADORIAS,DE ROLOS MOTORES"
84283990,"OUTS.APARS.ELEVADOR/TRANSPORT.ACAO CONTINUA,P/MERCAD."
84283999,"OUTS.APARS.ELEVADORES/ETC.DE ACAO CONTINUA,N/SUBTERR."
84284000,"ESCADAS E TAPETES,ROLANTES"
84284001,ESCADAS ROLANTES
84284099,TAPETES ROLANTES
84285000,APARELHOS P/EMPURRAR VAGAO DE MINAS/VEICULO FERROVIARIO
84286000,"TELEFERICO/MECANISMO DE TRACAO,P/FUNICULARES"
84289000,"OUTS.MAQUINAS/APARELHOS,DE ELEVACAO DE CARGA/DESCARGA/"
84289010,"MAQUINAS E APARS.P/DESEMBARQUE DE BOTES SALVA-VIDAS,ETC"
84289020,TRANSPORTADORES-ELEVADORES AUTOMAT.DE DESLOCAM.HORIZ.
84289090,"OUTS.MAQS.E APARS.DE ELEVACAO,DE CARGA,DE DESCARGA,ETC."
84291100,"BULLDOZERS E ANGLEDOZERS ,DE LAGARTAS"
84291110,"BULLDOZERS E ANGLEDOZERS ,DE LAGARTAS,DE POT.>=520HP"
84291190,"OUTROS BULLDOZERS E ANGLEDOZERS ,DE LAGARTAS"
84291900,"BULLDOZERS E ANGLEDOZERS ,EXC.DE LAGARTAS"
84291910,OUTROS BULLDOZERS DE POTENCIA NO VOLANTE>=315HP
84291990,OUTROS BULLDOZERS E ANGLEDOZERS
84292000,NIVELADORES
84292010,"MOTONIVELADORES ARTICULADOS,POTENCIA NO VOLANTE>=275HP"
84292090,OUTROS NIVELADORES
84293000,RASPO-TRANSPORTADOR ( SCRAPER )
84294000,"COMPACTADORES E ROLOS/CILINDROS COMPRESSORES,AUTOPROPUL"
84294001,COMPACTADORES TIPO PLACA VIBRATORIA
84294002,ROLOS COMPRESSORES
84294099,CILINDRO COMPRESSOR E OUTROS COMPACTADORES
84295101,"CARREGADORAS-TRANSPORTADORAS,DE CARREGAMENTO FRONTAL"
84295102,TRATORES P/RECEBER EQUIPAM.FRONTAL P/ESCAVO-CARREGADORA
84295111,"CARREGADORAS-TRANSPORTADORAS,UTIL.MINAS SUBSTERRANEAS"
84295119,OUTRAS CARREGADORAS-TRANSPORTADORAS DE CARREGAM.FRONTAL
84295121,"INFRAESTRUTURA MOTORA,P/RECEBER CARREGADORAS,P>=609HP"
84295129,"INFRAESTRUTURA MOTORA,P/RECEBER OUTRAS CARREGADORAS"
84295190,"OUTS.CARREGADORAS/PAS-CARREGADORAS,DE CARREGAM.FRONTAL"
84295199,"OUTS.CARREGADORAS/PAS-CARREGADORAS,DE CARREGAM.FRONTAL"
84295200,PAS MECANICAS/ESCAVADORAS/ETC.CAPACID.ROTACAO=360 GRAUS
84295210,"ESCAVADEIRAS CAP.EFET.ROTACAO=360GRAUS,CAP.CARGA>=19M3"
84295290,"OUTS.MAQUINAS ESCAVADORAS,ETC.CAP.EFET.ROTACAO=360GRAUS"
84295900,OUTS.PAS MECANICAS/ESCAVADORAS/CARREGADORAS/ETC.
84301000,BATE-ESTACAS E ARRANCA-ESTACAS
84302000,LIMPA-NEVES
84303101,"CORTADORES DE CARVAO/DE ROCHAS,AUTOPROPULSORES"
84303110,"CORTADORES DE CARVAO OU DE ROCHAS,AUTOPROPULSORES"
84303190,"MAQS.P/PERFURACAO DE TUNEIS E GALERIAS,AUTOPROPULSORAS"
84303199,"MAQUINAS P/PERFURAR TUNEIS/GALERIAS,AUTOPROPULSORAS"
84303901,"CORTADORES DE CARVAO/DE ROCHAS,EXC.AUTOPROPULSORES"
84303910,OUTROS CORTADORES DE CARVAO OU DE ROCHAS
84303990,OUTRAS MAQUINAS P/PERFURACAO DE TUNEIS E GALERIAS
84303999,"MAQUINAS P/PERFURAR TUNEIS/GALERIAS,EXC.AUTOPROPULSORAS"
84304101,"PERFURATRIZ DE PERCUSSAO,AUTOPROPULSORA"
84304102,"PERFURATRIZ ROTATIVA,AUTOPROPULSORA"
84304103,"MAQUINAS DE SONDAGEM,DE PERCUSSAO,AUTOPROPULSORAS"
84304104,"MAQUINAS DE SONDAGEM,ROTATIVAS,AUTOPROPULSORAS"
84304110,"PERFURATRIZ DE PERCUSSAO,AUTOPROPULSORA"
84304120,"PERFURATRIZ ROTATIVA,AUTOPROPULSORA"
84304130,"MAQUINAS DE SONDAGEM,ROTATIVAS,AUTOPROPULSORAS"
84304190,"OUTRAS MAQUINAS DE SONDAGEM/PERFURACAO,AUTOPROPULSORAS"
84304199,"OUTS.MAQUINAS DE SONDAGEM/PERFURACAO,AUTOPROPULSORAS"
84304901,"PERFURATRIZ DE PERCUSSAO,EXC.AUTOPROPULSORA"
84304902,"PERFURATRIZ ROTATIVA,EXC.AUTOPROPULSORA"
84304903,"MAQUINAS DE SONDAGEM,DE PERCUSSAO,EXC.AUTOPROPULSORAS"
84304904,"MAQUINAS DE SONDAGEM,ROTATIVAS,EXC.AUTOPROPULSORAS"
84304910,OUTRAS PERFURATRIZES DE PERCUSSAO
84304920,"OUTRAS MAQUINAS DE SONDAGEM,ROTATIVAS"
84304990,OUTRAS MAQUINAS DE SONDAGEM/PERFURACAO
84304999,"OUTS.MAQUINAS DE SONDAGEM/PERFURAR,EXC.AUTOPROPULSORAS"
84305000,"OUTS.MAQS.E APARS.DE TERRAPLANAGEM,ETC.AUTOPROPULSORES"
84305001,"CUNHA HIDRAULICA,AUTOPROPULSORA"
84305002,"DESMONTADOR,AUTOPROPULSOR"
84305099,OUTS.MAQUINAS/APARS.P/TERRAPLANAGEM/ETC.AUTOPROPULSORAS
84306100,"MAQUINAS DE COMPRIMIR/COMPACTAR,EXC.AUTOPROPULSORAS"
84306200,"OUTS.RASPO-TRANSPORTADORES DE TERRA,ETC.EXC.AUTOPROPULS"
84306201,"RASPO-TRANSPORTADOR,DE 4 RODAS,EXC.AUTOPROPULSOR"
84306202,"RASPO-TRANSPORTADOR,DE 2 RODAS,EXC.AUTOPROPULSOR"
84306203,"RASPO-TRANSPORTADOR,DE 2 RODAS,C/MOTOR DE TRACAO"
84306299,"OUTS.RASPO-TRANSPORTADORES,EXC.AUTOPROPULSORES"
84306901,"EQUIPAMENTO FRONTAL P/ BULLDOZER ,EXC.AUTOPROPULSOR"
84306902,"EQUIPAMENTO FRONTAL P/ESCAVADEIRA,EXC.AUTOPROPULSORA"
84306903,EQUIPAMENTO FRONTAL P/ESCAVO-CARREGAD.EXC.AUTOPROPULSOR
84306904,ESCARIFICADOR P/TERRAPLANAGEM/ETC.EXC.AUTOPROPULSOR
84306905,DESTOCADORES EXCETO AUTOPROPULSORES
84306906,ROLOS COMPRESSORES SEM ORGAO DE PROPULSAO
84306911,"EQUIPAMENTOS FRONTAIS P/ESCAVO-CARREGADORAS,ETC.CAP>4M3"
84306919,OUTS.EQUIPAMENTOS FRONTAIS P/CARREGAD.ETC.EXC.AUTOPULS.
84306990,"OUTS.MAQS.E APARS.DE TERRAPLANAGEM,ETC.EXC.AUTOPROPULS."
84306999,"OUTS.MAQUINAS/APARELHOS,DE TERRAPLANAGEM/NIVELAMENTO"
84311000,PARTES DE GUINCHOS/MAQUINAS DE TERRAPLANAGEM/ETC.
84311010,"PARTES DE TALHAS,CADERNAIS,MOITOES MANUAIS,GUINCHOS,ETC"
84311090,"PARTES DE OUTRAS TALHAS,CADERNAIS,MOITOES,GUINCHOS,ETC."
84312001,"PARTES DE EMPILHADEIRAS,AUTOPROPULSORAS"
84312002,"PARTES DE VEICULO P/MOVIMENTACAO DE CARGA,AUTOPROPULSOR"
84312011,"PARTES DE EMPILHADEIRAS,AUTOPROPULSORAS"
84312019,PARTES DE OUTRAS EMPILHADEIRAS
84312090,"PARTES DE OUTROS VEIC.P/MOVIM.CARGA,C/DISPOSIT.ELEVACAO"
84313100,PARTES DE ELEVADORES/MONTA-CARGAS/ESCADAS-ROLANTES/ETC.
84313110,PARTES DE ELEVADORES
84313190,PARTES DE MONTA-CARGAS/ESCADAS ROLANTES
84313900,PARTES DE OUTS.MAQS/APARS.DE ELEVACAO DE CARGA/DESCARGA
84314100,PARTES DE CACAMBAS MESMO DE MANDIBULAS/PAS/GANCHOS/ETC.
84314200,LAMINAS PARA BULLDOZERS OU ANGLEDOZERS
84314300,PARTES DE MAQUINAS DE SONDAGEM/PERFURACAO
84314310,PARTES DAS MAQUINAS DE SONDAGEM ROTATIVAS
84314390,PARTES DE OUTRAS MAQUINAS DE SONDAGEM/PERFURACAO
84314900,PARTES DE OUTS.MAQS/APARS.NIVELADORES/ESCAVADORES/ETC.
84321000,ARADOS E CHARRUAS
84321001,ARADOS DE AIVECAS
84321002,ARADOS DE DISCOS
84321003,ARADOS DE PONTAS OU DENTES
84321099,CHARRUAS E OUTROS ARADOS
84322100,GRADES DE DISCOS
84322900,"OUTRAS GRADES,ESCARIFICADORES,CULTIVADORES,ENXADAS,ETC."
84322901,GRADES EXCETO DE DISCOS
84322902,ESCARIFICADOR P/USO AGRICOLA
84322903,CULTIVADORES
84322999,"EXTIRPADORES,ENXADAS E SACHADORES"
84323000,"SEMEADORES,PLANTADORES E TRANSPLANTADORES"
84323010,SEMEADORES-ADUBADORES
84323090,"OUTROS SEMEADORES,PLANTADORES E TRANSPLANTADORES"
84324000,ESPALHADOR DE ESTRUME/DISTRIBUIDOR DE ADUBOS/FERTILIZ.
84328000,"OUTS.MAQUINAS E APARS.AGRICOLAS,ETC.P/PREPAR.DO SOLO"
84328001,"ROLOS/CILINDROS,COMPRESSORES/DESTORROADORES DE SOLO"
84328002,"CONJUNTO AGRICOLA C/IMPLEMENTO/TRATOR,P/PREPAR.DO SOLO"
84328099,"OUTS.MAQS/APARS.AGRICOLAS/HORTICOLAS,P/PREPAR.DO SOLO"
84329000,PARTES DE MAQS/APARS.AGRICOLAS/ETC.P/PREPARACAO DO SOLO
84331100,"CORTADOR DE GRAMA,MOTORIZADO,C/DISP.CORTE PLANO HORIZ."
84331900,OUTS.CORTADORES DE GRAMA
84332000,CEIFEIRAS PARA MONTAGEM EM TRATORES
84332010,"CEIFEIRAS C/DISP.ACOND.EM FILEIRAS,ROTOR DE DEDOS/PENTE"
84332090,"OUTS.CEIFEIRAS,INCL.BARRAS DE CORTE P/MONTAG.EM TRATOR"
84333000,"OUTS.MAQUINAS/APARELHOS,P/COLHER/DISPOR O FENO"
84334000,ENFARDADEIRA DE PALHA/FORRAGEM INCL.ENFARDA-APANHADEIRA
84335100,CEIFEIRAS-DEBULHADORAS
84335200,"MAQUINAS/APARELHOS,P/DEBULHA,EXC.CEIFEIRAS-DEBULHADORAS"
84335300,MAQUINAS P/COLHEITA DE RAIZES OU TUBERCULOS
84335901,COLHEDEIRAS COMBINADAS
84335911,"COLHEITADEIRA DE ALGODAO,CAP2 SULCOS,POT.NO VOL80HP"
84335919,OUTRAS COLHEITADEIRAS DE ALGODAO
84335990,OUTRAS MAQUINAS E APARELHOS P/COLHEITA
84335999,"OUTS.MAQUINAS/APARELHOS,P/COLHEITA/DEBULHA"
84336001,MAQUINAS P/LIMPAR OU SELECIONAR OVOS
84336002,MAQUINAS P/LIMPAR/SELECIONAR FRUTAS/BATATAS/ETC.
84336010,SELECIONADORES DE FRUTAS
84336090,MAQS.P/LIMPAR/SELECIONAR OVOS E OUTS.PRODS.AGRICOLAS
84336099,MAQUINAS P/LIMPAR/SELECIONAR OUTS.PRODUTOS AGRICOLAS
84339000,"PARTES DE MAQUINAS/APARELHOS,P/COLHEITA/DEBULHA/ETC."
84339010,PARTES DE CORTADORES DE GRAMA
84339090,"PARTES DE OUTS.MAQUINAS E APARS.P/COLHEITA,DEBULHA,ETC."
84341000,MAQUINAS DE ORDENHAR
84342001,"MAQUINAS/APARELHOS,P/TRATAMENTO DO LEITE"
84342002,"BATEDEIRA/BATEDEIRA-AMASSADEIRA,P/FABR.DE MANTEIGA"
84342010,MAQUINAS E APARELHOS P/TRATAMENTO DO LEITE
84342090,OUTRAS MAQUINAS E APARELHOS P/A IND.DE LATICINIOS
84342099,"OUTS.MAQUINAS/APARELHOS,P/A INDUSTRIA DE LATICINIOS"
84349000,PARTES DE MAQS/APARS.DE ORDENHAR/DA IND.DE LATICINIOS
84351000,"MAQUINAS/APARELHOS,P/FABR.DO VINHO/DA SIDRA/ETC."
84359000,PARTES DE MAQUINAS/APARS.P/FABR.DO VINHO/DA SIDRA/ETC.
84361000,MAQUINAS/APARS.P/PREPAR.DE ALIMENTO/RACAO DE ANIMAIS
84362100,CHOCADEIRAS E CRIADEIRAS
84362900,"MAQUINAS/APARS.P/AVICULTURA,EXC.CHOCADEIRA/CRIADEIRA"
84368000,MAQUINAS/APARS.P/AGRICULTURA/HORTICULTURA/SILVICULTURA/
84369100,"PARTES DE MAQUINAS/APARELHOS,P/AVICULTURA"
84369900,PARTES DE MAQUINAS/APARS.P/AGRICULTURA/HORTICULTURA/ETC
84371000,MAQUINAS P/LIMPAR/SELECIONAR/ETC.GRAOS/PRODS.HORTICOLAS
84378001,"MAQUINAS P/TRITURACAO/ESMAGAMENTO/MOAGEM,DE GRAOS"
84378002,MAQUINAS P/SELECIONAR/SEPARAR PRODS.DA MOAGEM DO GRAO
84378010,MAQUINAS E APARELHOS P/TRITURACAO OU MOAGEM DE GRAOS
84378090,"OUTS.MAQS.E APARS.P/IND.DE MOAGEM,TRATAM.DE CEREAIS,ETC"
84378099,OUTS.MAQS/APARS.P/IND.DA MOAGEM/TRATAM.DE CEREAIS/ETC.
84379000,PARTES DE MAQS/APARS.P/LIMPEZA/SELECAO DE GRAOS/ETC.
84381000,MAQUINAS/APARS.P/INDUSTRIA PANIFICADORA/PASTELARIA/ETC.
84382001,"MAQUINAS/APARELHOS,P/INDUSTRIA DE CONFEITARIA"
84382002,"MAQUINAS/APARS.P/MOAGEM/ESMAGAMENTO,DO GRAO DE CACAU"
84382010,MAQUINAS E APARELHOS P/IND.DE CONFEITARIA
84382090,MAQUINAS E APARELHOS P/IND.DE CACAU OU DE CHOCOLATE
84383000,MAQUINAS E APARELHOS P/IND.DE ACUCAR
84383001,MAQUINAS/APARS.P/EXTRACAO DO CALDO DE CANA-DE-ACUCAR
84383002,"MAQUINAS/APARS.P/TRATAM.CALDO/SUCO/REFINACAO,DO ACUCAR"
84383099,"OUTS.MAQUINAS/APARELHOS,P/INDUSTRIA DE ACUCAR"
84384000,"MAQUINAS/APARELHO,P/INDUSTRIA CERVEJEIRA"
84385000,"MAQUINAS/APARELHOS,P/PREPARACAO DE CARNES"
84386000,"MAQUINAS/APARELHOS,P/PREPAR.DE FRUTAS/PRODS.AGRICOLAS"
84388001,MAQUINAS/APARS.P/PREPAR.DE PEIXES/CRUSTACEOS/MOLUSCOS
84388010,MAQUINAS P/EXTRACAO DE OLEO ESSENCIAL DE CITRICOS
84388020,"MAQS.E APARS.AUTOMAT.P/DESCABECAR,ETC.PESCADO,C>350UNID"
84388090,"OUTS.MAQS.E APARS.P/PREPAR/FABR.INDAL.DE ALIMENTOS,ETC."
84388099,OUTS.MAQS/APARS.P/PREPARAR/FABRICAR ALIMENTOS/BEBIDAS
84389000,PARTES DE MAQS/APARS.P/PREPARAR/FABRICAR ALIMENTOS/ETC.
84391001,"MAQS/APARS.P/TRATAM.DA MATERIA-PRIMA,P/FABR.DA PASTA"
84391002,CRIVOS/CLASSIFICADOR-DEPURADOR DA PASTA DE CELULOSE
84391003,REFINADORAS P/FABR.PASTA DE MATERIA FIBROSA CELULOSICA
84391010,"MAQS.E APARS.P/TRAT.MATERIA-PRIMA,P/FABR.PASTA CELULOSE"
84391020,CLASSIFICADORAS E DEPURADORAS DA PASTA DE CELULOSE
84391030,REFINADORAS P/FABR.PASTA DE MATERIA CELULOSICA
84391090,OUTS.MAQUINAS E APARS.P/FABR.PASTA DE MATER.CELULOSICA
84391099,OUTS.MAQS/APARS.P/FABR.DE PASTA DE MATERIA CELULOSICA
84392000,MAQUINAS E APARELHOS P/FABR.DE PAPEL OU CARTAO
84392001,"MAQUINAS CONTINUAS,DE MESA PLANA,P/FABR.DE PAPEL/CARTAO"
84392099,"OUTS.MAQUINAS/APARELHOS,P/FABRICACAO DE PAPEL/CARTAO"
84393001,"BOBINADORAS-ESTICADORAS,P/ACABAMENTO DE PAPEL/CARTAO"
84393002,MAQUINAS P/IMPREGNAR PAPEL OU CARTAO
84393003,MAQUINAS P/FABR.DE PAPEL/CARTOLINA/CARTAO ONDULADO
84393010,BOBINADORAS-ESTICADORAS P/ACABAMENTO DE PAPEL OU CARTAO
84393020,MAQUINAS E APARELHOS P/IMPREGNAR PAPEL OU CARTAO
84393030,MAQUINAS E APARELHOS P/ONDULAR PAPEL OU CARTAO
84393090,OUTS.MAQUINAS E APARELHOS P/ACABAMENTO DE PAPEL/CARTAO
84393099,"OUTS.MAQUINAS/APARELHOS,P/ACABAMENTO DE PAPEL/CARTAO"
84399100,PARTES DE MAQS/APARS.P/FABR.PASTA DE MATERIA CELULOSICA
84399900,PARTES DE MAQS/APARS.P/ACABAMENTO DE PAPEL/CARTAO
84401001,MAQUINAS P/COSTURAR CADERNOS
84401011,"MAQUINAS E APARS.DE COSTURAR CADERNOS,C/ALIMENT.AUTOMAT"
84401019,OUTRAS MAQUINAS E APARELHOS DE COSTURAR CADERNOS
84401090,OUTRAS MAQUINAS E APARELHOS P/BROCHURA OU ENCADERNACAO
84401099,"OUTS.MAQUINAS/APARELHOS,P/BROCHURA/ENCADERNACAO"
84409000,"PARTES DE MAQUINAS/APARELHOS,P/BROCHURA/ENCADERNACAO"
84411000,CORTADEIRAS P/PAPEL/CARTAO/ETC.
84411010,"CORTADEIRAS BOBINADORAS P/PAPEL,CARTAO,ETC.V>2000M/MIN"
84411090,"OUTRAS CORTADEIRAS P/PASTA DE PAPEL,PAPEL OU CARTAO"
84412000,MAQUINAS P/FABRICACAO DE SACOS OU ENVELOPES DE PAPEL
84413001,MAQUINAS DE DOBRAR OU COLAR CAIXAS DE PAPEL
84413010,"MAQUINAS DE DOBRAR E COLAR,P/FABR.DE CAIXAS DE PAPEL"
